,restaurant number,name,rating,cuisine,price,location
122,123,133. Mellben Seafood,4.1 ,Seafood,$$$,Ang Mo Kio
123,124,134. Old Airport Road Food Centre,4.3 ,"Hawker Centre, Food Court",$,Mountbatten
124,125,135. The Other Room,4.6 ,"Tapas/Small Plates, Cocktail Bars",$$,Orchard
125,126,136. Majestic Bay,3.1 ,Seafood,$$,Bayfront
126,127,137. Grain Traders,4.1 ,Cafes,$$,Raffles Place
127,128,138. Annalakshmi,4.0 ,"Indian, Vegetarian",$,Clarke Quay
128,129,139. Taste Of Morroco,5.0 ,Moroccan,$,West Coast
129,130,140. Lao You Xuan Noodle Kitchen,5.0 ,"Singaporean, Noodles, Soup",$,River Valley
130,131,141. Inle Myanmar,4.2 ,Burmese,$,Bras Brasah
131,132,142. Hai San Chicken Rice,5.0 ,Chinese,$,Tiong Bahru
132,133,143. Imperial Treasure Nan Bei Restaurant,4.6 ,Chinese,$$,Orchard
133,134,144. Ji Ji Wanton Noodle Specialist,4.5 ,Chinese,$,Chinatown
134,135,145. 旺角點心 Mongkok Dim Sum,3.7 ,Dim Sum,$,Geylang
135,136,146. Cook & Brew,3.9 ,"Gastropubs, Lounges",$$$,Bayfront
136,137,147. Hopheads,3.7 ,"Bistros, Tapas/Small Plates",$$,Dhoby Ghaut
137,138,148. Su Korean BBQ,4.5 ,"Korean, Barbeque",$,Toa Payoh
138,139,149. Haramiya Japanese BBQ Restaurant,4.0 ,"Barbeque, Japanese",$$,Clarke Quay
139,140,150. Alati,4.6 ,Greek,$$$,Tanjong Pagar
140,141,151. Seletar Hill,5.0 ,Szechuan,$$,Yio Chu Kang
141,142,152. Artichoke Cafe & Bar,4.0 ,"Bars, Middle Eastern",$$,Bencoolen
142,143,153. Hup Choon Eating House,4.3 ,Seafood,$,Bukit Timah
143,144,154. Ramen Keisuke Tori King,4.2 ,Ramen,$$,Tanjong Pagar
144,145,155. Yi Jia South Village Seafood Restaurant,3.3 ,Seafood,$$,Macpherson
145,146,156. CreatureS,4.1 ,"Breakfast & Brunch, Asian Fusion, Singaporean",$$,Little India
146,147,157. Kazu Sumiyaki,4.5 ,Japanese,$$$,Orchard
147,148,158. Red Eye Smokehouse,4.3 ,"Bars, American, Barbeque",$$$,Lavender
148,149,159. Bella Pizza,3.8 ,"Italian, Pizza",$$,Robertson Quay
149,150,160. Sushi Kou,4.8 ,Japanese,$$$,Tanjong Pagar
150,151,161. Humpback,4.4 ,"American, Seafood, Cocktail Bars",$$$,Chinatown
151,152,162. Ippudo,4.1 ,Ramen,$$,Somerset
152,153,163. Bosses Restaurant,3.9 ,"Dim Sum, Cantonese",$$,Harbourfront
